JUDGE,LOT_ID,PANEL_ID,TIME_1BLACK,TIME_2AG,TIME_3BUS,TIME_4DIELEC,TIME_5MGO,TIME_6PHOS,TIME_7PASTE,TIME_8AGING,MC_1BLACK_1PRINT,MC_1BLACK_2RTD,MC_2AG_1PRINT,MC_2AG_2RTD,MC_2AG_3EXPOSURE,MC_3BUS_1DEVELOP,MC_3BUS_2FIRE,MC_4DIELEC_1FIRE,MC_5MGO,MC_6PHOS_1R_1DISPENSER,MC_6PHOS_1R_2DRY,MC_6PHOS_2G_1DISPENSER,MC_6PHOS_2G_2DRY,MC_6PHOS_3B_1DISPENSER,MC_6PHOS_4FIRE,MC_7PASTE,MC_8AGING
양품,LOT-102,PNL-01,2019-04-01T14:47,2019-04-01T20:07,2019-04-02T01:47,2019-04-07T04:27,2019-04-11T18:27,2019-04-04T11:05,2019-04-12T03:27,2019-04-12T05:07,1호기,1호기,2호기,1호기,2호기,1호기,2호기,3호기,2호기,1호기,2호기,1호기,1호기,2호기,3호기,2호기,2호기
명점,LOT-102,PNL-02,2019-04-01T15:31,2019-04-01T20:51,2019-04-02T02:31,2019-04-07T05:11,2019-04-11T19:11,2019-04-04T11:49,2019-04-12T04:11,2019-04-12T05:51,1호기,1호기,2호기,1호기,2호기,1호기,2호기,3호기,2호기,1호기,2호기,1호기,1호기,2호기,3호기,2호기,2호기
양품,LOT-102,PNL-03,2019-04-01T16:15,2019-04-01T21:35,2019-04-02T03:15,2019-04-07T05:55,2019-04-11T19:55,2019-04-04T12:33,2019-04-12T04:55,2019-04-12T06:35,1호기,1호기,2호기,1호기,2호기,1호기,2호기,3호기,2호기,1호기,2호기,1호기,1호기,2호기,3호기,2호기,2호기
양품,LOT-102,PNL-04,2019-04-01T16:59,2019-04-01T22:19,2019-04-02T03:59,2019-04-07T06:39,2019-04-11T20:39,2019-04-04T13:17,2019-04-12T05:39,2019-04-12T07:19,1호기,1호기,2호기,1호기,2호기,1호기,2호기,3호기,2호기,1호기,2호기,1호기,1호기,2호기,3호기,2호기,2호기
양품,LOT-102,PNL-05,2019-04-01T17:44,2019-04-01T23:04,2019-04-02T04:44,2019-04-07T07:24,2019-04-11T21:24,2019-04-04T14:02,2019-04-12T06:24,2019-04-12T08:04,1호기,1호기,2호기,1호기,2호기,1호기,2호기,3호기,2호기,1호기,2호기,1호기,1호기,2호기,3호기,2호기,2호기
양품,LOT-102,PNL-06,2019-04-01T18:28,2019-04-01T23:48,2019-04-02T05:28,2019-04-07T08:08,2019-04-11T22:08,2019-04-04T14:46,2019-04-12T07:08,2019-04-12T08:48,1호기,1호기,2호기,1호기,2호기,1호기,2호기,3호기,2호기,1호기,2호기,1호기,1호기,2호기,3호기,2호기,2호기
양품,LOT-102,PNL-07,2019-04-01T19:12,2019-04-02T00:32,2019-04-02T06:12,2019-04-07T08:52,2019-04-11T22:52,2019-04-04T15:30,2019-04-12T07:52,2019-04-12T09:32,1호기,1호기,2호기,1호기,2호기,1호기,2호기,3호기,2호기,1호기,2호기,1호기,1호기,2호기,3호기,2호기,2호기
양품,LOT-102,PNL-08,2019-04-01T19:56,2019-04-02T01:16,2019-04-02T06:56,2019-04-07T09:36,2019-04-11T23:36,2019-04-04T16:14,2019-04-12T08:36,2019-04-12T10:16,1호기,1호기,2호기,1호기,2호기,1호기,2호기,3호기,2호기,1호기,2호기,1호기,1호기,2호기,3호기,2호기,2호기
양품,LOT-102,PNL-09,2019-04-01T20:41,2019-04-02T02:01,2019-04-02T07:41,2019-04-07T10:21,2019-04-12T00:21,2019-04-04T16:59,2019-04-12T09:21,2019-04-12T11:01,1호기,1호기,2호기,1호기,2호기,1호기,2호기,3호기,2호기,1호기,2호기,1호기,1호기,2호기,3호기,2호기,2호기
양품,LOT-102,PNL-10,2019-04-01T21:25,2019-04-02T02:45,2019-04-02T08:25,2019-04-07T11:05,2019-04-12T01:05,2019-04-04T17:43,2019-04-12T10:05,2019-04-12T11:45,1호기,1호기,2호기,1호기,2호기,1호기,2호기,3호기,2호기,1호기,2호기,1호기,1호기,2호기,3호기,2호기,2호기
양품,LOT-102,PNL-11,2019-04-01T22:09,2019-04-02T03:29,2019-04-02T09:09,2019-04-07T11:49,2019-04-12T01:49,2019-04-04T18:27,2019-04-12T10:49,2019-04-12T12:29,1호기,1호기,2호기,1호기,2호기,1호기,2호기,3호기,2호기,1호기,2호기,1호기,1호기,2호기,3호기,2호기,2호기
양품,LOT-102,PNL-12,2019-04-01T22:53,2019-04-02T04:13,2019-04-02T09:53,2019-04-07T12:33,2019-04-12T02:33,2019-04-04T19:11,2019-04-12T11:33,2019-04-12T13:13,1호기,1호기,2호기,1호기,2호기,1호기,2호기,3호기,2호기,1호기,2호기,1호기,1호기,2호기,3호기,2호기,2호기
양품,LOT-102,PNL-13,2019-04-01T23:38,2019-04-02T04:58,2019-04-02T10:38,2019-04-07T13:18,2019-04-12T03:18,2019-04-04T19:56,2019-04-12T12:18,2019-04-12T13:58,1호기,1호기,2호기,1호기,2호기,1호기,2호기,3호기,2호기,1호기,2호기,1호기,1호기,2호기,3호기,2호기,2호기
양품,LOT-102,PNL-14,2019-04-02T00:22,2019-04-02T05:42,2019-04-02T11:22,2019-04-07T14:02,2019-04-12T04:02,2019-04-04T20:40,2019-04-12T13:02,2019-04-12T14:42,1호기,1호기,2호기,1호기,2호기,1호기,2호기,3호기,2호기,1호기,2호기,1호기,1호기,2호기,3호기,2호기,2호기
양품,LOT-102,PNL-15,2019-04-02T01:06,2019-04-02T06:26,2019-04-02T12:06,2019-04-07T14:46,2019-04-12T04:46,2019-04-04T21:24,2019-04-12T13:46,2019-04-12T15:26,1호기,1호기,2호기,1호기,2호기,1호기,2호기,3호기,2호기,1호기,2호기,1호기,1호기,2호기,3호기,2호기,2호기
양품,LOT-102,PNL-16,2019-04-02T01:50,2019-04-02T07:10,2019-04-02T12:50,2019-04-07T15:30,2019-04-12T05:30,2019-04-04T22:08,2019-04-12T14:30,2019-04-12T16:10,1호기,1호기,2호기,1호기,2호기,1호기,2호기,3호기,2호기,1호기,2호기,1호기,1호기,2호기,3호기,2호기,2호기
양품,LOT-102,PNL-17,2019-04-02T02:35,2019-04-02T07:55,2019-04-02T13:35,2019-04-07T16:15,2019-04-12T06:15,2019-04-04T22:53,2019-04-12T15:15,2019-04-12T16:55,1호기,1호기,2호기,1호기,2호기,1호기,2호기,3호기,2호기,1호기,2호기,1호기,1호기,2호기,3호기,2호기,2호기
양품,LOT-102,PNL-18,2019-04-02T03:19,2019-04-02T08:39,2019-04-02T14:19,2019-04-07T16:59,2019-04-12T06:59,2019-04-04T23:37,2019-04-12T15:59,2019-04-12T17:39,1호기,1호기,2호기,1호기,2호기,1호기,2호기,3호기,2호기,1호기,2호기,1호기,1호기,2호기,3호기,2호기,2호기
양품,LOT-102,PNL-19,2019-04-02T04:03,2019-04-02T09:23,2019-04-02T15:03,2019-04-07T17:43,2019-04-12T07:43,2019-04-05T00:21,2019-04-12T16:43,2019-04-12T18:23,1호기,1호기,2호기,1호기,2호기,1호기,2호기,3호기,2호기,1호기,2호기,1호기,1호기,2호기,3호기,2호기,2호기
양품,LOT-102,PNL-20,2019-04-02T04:47,2019-04-02T10:07,2019-04-02T15:47,2019-04-07T18:27,2019-04-12T08:27,2019-04-05T01:05,2019-04-12T17:27,2019-04-12T19:07,1호기,1호기,2호기,1호기,2호기,1호기,2호기,3호기,2호기,1호기,2호기,1호기,1호기,2호기,3호기,2호기,2호기
명점,LOT-103,PNL-01,2019-04-02T05:33,2019-04-02T10:53,2019-04-02T16:33,2019-04-07T19:13,2019-04-12T09:13,2019-04-05T01:50,2019-04-12T18:13,2019-04-12T19:53,2호기,2호기,1호기,1호기,2호기,2호기,2호기,2호기,2호기,1호기,2호기,1호기,2호기,1호기,1호기,2호기,2호기
양품,LOT-103,PNL-02,2019-04-02T06:17,2019-04-02T11:37,2019-04-02T17:17,2019-04-07T19:57,2019-04-12T09:57,2019-04-05T02:34,2019-04-12T18:57,2019-04-12T20:37,2호기,2호기,1호기,1호기,2호기,2호기,2호기,2호기,2호기,1호기,2호기,1호기,2호기,1호기,1호기,2호기,2호기
양품,LOT-103,PNL-03,2019-04-02T07:01,2019-04-02T12:21,2019-04-02T18:01,2019-04-07T20:41,2019-04-12T10:41,2019-04-05T03:18,2019-04-12T19:41,2019-04-12T21:21,2호기,2호기,1호기,1호기,2호기,2호기,2호기,2호기,2호기,1호기,2호기,1호기,2호기,1호기,1호기,2호기,2호기
양품,LOT-103,PNL-04,2019-04-02T07:45,2019-04-02T13:05,2019-04-02T18:45,2019-04-07T21:25,2019-04-12T11:25,2019-04-05T04:02,2019-04-12T20:25,2019-04-12T22:05,2호기,2호기,1호기,1호기,2호기,2호기,2호기,2호기,2호기,1호기,2호기,1호기,2호기,1호기,1호기,2호기,2호기
명점,LOT-103,PNL-05,2019-04-02T08:30,2019-04-02T13:50,2019-04-02T19:30,2019-04-07T22:10,2019-04-12T12:10,2019-04-05T04:47,2019-04-12T21:10,2019-04-12T22:50,2호기,2호기,1호기,1호기,2호기,2호기,2호기,2호기,2호기,1호기,2호기,1호기,2호기,1호기,1호기,2호기,2호기
양품,LOT-103,PNL-06,2019-04-02T09:14,2019-04-02T14:34,2019-04-02T20:14,2019-04-07T22:54,2019-04-12T12:54,2019-04-05T05:31,2019-04-12T21:54,2019-04-12T23:34,2호기,2호기,1호기,1호기,2호기,2호기,2호기,2호기,2호기,1호기,2호기,1호기,2호기,1호기,1호기,2호기,2호기
양품,LOT-103,PNL-07,2019-04-02T09:58,2019-04-02T15:18,2019-04-02T20:58,2019-04-07T23:38,2019-04-12T13:38,2019-04-05T06:15,2019-04-12T22:38,2019-04-13T00:18,2호기,2호기,1호기,1호기,2호기,2호기,2호기,2호기,2호기,1호기,2호기,1호기,2호기,1호기,1호기,2호기,2호기
양품,LOT-103,PNL-08,2019-04-02T10:42,2019-04-02T16:02,2019-04-02T21:42,2019-04-08T00:22,2019-04-12T14:22,2019-04-05T06:59,2019-04-12T23:22,2019-04-13T01:02,2호기,2호기,1호기,1호기,2호기,2호기,2호기,2호기,2호기,1호기,2호기,1호기,2호기,1호기,1호기,2호기,2호기
양품,LOT-103,PNL-09,2019-04-02T11:27,2019-04-02T16:47,2019-04-02T22:27,2019-04-08T01:07,2019-04-12T15:07,2019-04-05T07:44,2019-04-13T00:07,2019-04-13T01:47,2호기,2호기,1호기,1호기,2호기,2호기,2호기,2호기,2호기,1호기,2호기,1호기,2호기,1호기,1호기,2호기,2호기
양품,LOT-103,PNL-10,2019-04-02T12:11,2019-04-02T17:31,2019-04-02T23:11,2019-04-08T01:51,2019-04-12T15:51,2019-04-05T08:28,2019-04-13T00:51,2019-04-13T02:31,2호기,2호기,1호기,1호기,2호기,2호기,2호기,2호기,2호기,1호기,2호기,1호기,2호기,1호기,1호기,2호기,2호기
양품,LOT-103,PNL-11,2019-04-02T12:55,2019-04-02T18:15,2019-04-02T23:55,2019-04-08T02:35,2019-04-12T16:35,2019-04-05T09:12,2019-04-13T01:35,2019-04-13T03:15,2호기,2호기,1호기,1호기,2호기,2호기,2호기,2호기,2호기,1호기,2호기,1호기,2호기,1호기,1호기,2호기,2호기
양품,LOT-103,PNL-12,2019-04-02T13:39,2019-04-02T18:59,2019-04-03T00:39,2019-04-08T03:19,2019-04-12T17:19,2019-04-05T09:56,2019-04-13T02:19,2019-04-13T03:59,2호기,2호기,1호기,1호기,2호기,2호기,2호기,2호기,2호기,1호기,2호기,1호기,2호기,1호기,1호기,2호기,2호기
양품,LOT-103,PNL-13,2019-04-02T14:24,2019-04-02T19:44,2019-04-03T01:24,2019-04-08T04:04,2019-04-12T18:04,2019-04-05T10:41,2019-04-13T03:04,2019-04-13T04:44,2호기,2호기,1호기,1호기,2호기,2호기,2호기,2호기,2호기,1호기,2호기,1호기,2호기,1호기,1호기,2호기,2호기
양품,LOT-103,PNL-14,2019-04-02T15:08,2019-04-02T20:28,2019-04-03T02:08,2019-04-08T04:48,2019-04-12T18:48,2019-04-05T11:25,2019-04-13T03:48,2019-04-13T05:28,2호기,2호기,1호기,1호기,2호기,2호기,2호기,2호기,2호기,1호기,2호기,1호기,2호기,1호기,1호기,2호기,2호기
양품,LOT-103,PNL-15,2019-04-02T15:52,2019-04-02T21:12,2019-04-03T02:52,2019-04-08T05:32,2019-04-12T19:32,2019-04-05T12:09,2019-04-13T04:32,2019-04-13T06:12,2호기,2호기,1호기,1호기,2호기,2호기,2호기,2호기,2호기,1호기,2호기,1호기,2호기,1호기,1호기,2호기,2호기
양품,LOT-103,PNL-16,2019-04-02T16:36,2019-04-02T21:56,2019-04-03T03:36,2019-04-08T06:16,2019-04-12T20:16,2019-04-05T12:53,2019-04-13T05:16,2019-04-13T06:56,2호기,2호기,1호기,1호기,2호기,2호기,2호기,2호기,2호기,1호기,2호기,1호기,2호기,1호기,1호기,2호기,2호기
양품,LOT-103,PNL-17,2019-04-02T17:21,2019-04-02T22:41,2019-04-03T04:21,2019-04-08T07:01,2019-04-12T21:01,2019-04-05T13:38,2019-04-13T06:01,2019-04-13T07:41,2호기,2호기,1호기,1호기,2호기,2호기,2호기,2호기,2호기,1호기,2호기,1호기,2호기,1호기,1호기,2호기,2호기
양품,LOT-103,PNL-18,2019-04-02T18:05,2019-04-02T23:25,2019-04-03T05:05,2019-04-08T07:45,2019-04-12T21:45,2019-04-05T14:22,2019-04-13T06:45,2019-04-13T08:25,2호기,2호기,1호기,1호기,2호기,2호기,2호기,2호기,2호기,1호기,2호기,1호기,2호기,1호기,1호기,2호기,2호기
양품,LOT-103,PNL-19,2019-04-02T18:49,2019-04-03T00:09,2019-04-03T05:49,2019-04-08T08:29,2019-04-12T22:29,2019-04-05T15:06,2019-04-13T07:29,2019-04-13T09:09,2호기,2호기,1호기,1호기,2호기,2호기,2호기,2호기,2호기,1호기,2호기,1호기,2호기,1호기,1호기,2호기,2호기
명점,LOT-103,PNL-20,2019-04-02T19:33,2019-04-03T00:53,2019-04-03T06:33,2019-04-08T09:13,2019-04-12T23:13,2019-04-05T15:50,2019-04-13T08:13,2019-04-13T09:53,2호기,2호기,1호기,1호기,2호기,2호기,2호기,2호기,2호기,1호기,2호기,1호기,2호기,1호기,1호기,2호기,2호기
양품,LOT-104,PNL-01,2019-04-02T20:19,2019-04-03T01:39,2019-04-03T07:19,2019-04-08T09:59,2019-04-12T23:59,2019-04-05T16:35,2019-04-13T08:59,2019-04-13T10:39,1호기,1호기,2호기,2호기,1호기,2호기,1호기,3호기,2호기,1호기,2호기,1호기,1호기,1호기,2호기,2호기,1호기
양품,LOT-104,PNL-02,2019-04-02T21:03,2019-04-03T02:23,2019-04-03T08:03,2019-04-08T10:43,2019-04-13T00:43,2019-04-05T17:19,2019-04-13T09:43,2019-04-13T11:23,1호기,1호기,2호기,2호기,1호기,2호기,1호기,3호기,2호기,1호기,2호기,1호기,1호기,1호기,2호기,2호기,1호기
양품,LOT-104,PNL-03,2019-04-02T21:47,2019-04-03T03:07,2019-04-03T08:47,2019-04-08T11:27,2019-04-13T01:27,2019-04-05T18:03,2019-04-13T10:27,2019-04-13T12:07,1호기,1호기,2호기,2호기,1호기,2호기,1호기,3호기,2호기,1호기,2호기,1호기,1호기,1호기,2호기,2호기,1호기
양품,LOT-104,PNL-04,2019-04-02T22:31,2019-04-03T03:51,2019-04-03T09:31,2019-04-08T12:11,2019-04-13T02:11,2019-04-05T18:47,2019-04-13T11:11,2019-04-13T12:51,1호기,1호기,2호기,2호기,1호기,2호기,1호기,3호기,2호기,1호기,2호기,1호기,1호기,1호기,2호기,2호기,1호기
양품,LOT-104,PNL-05,2019-04-02T23:16,2019-04-03T04:36,2019-04-03T10:16,2019-04-08T12:56,2019-04-13T02:56,2019-04-05T19:32,2019-04-13T11:56,2019-04-13T13:36,1호기,1호기,2호기,2호기,1호기,2호기,1호기,3호기,2호기,1호기,2호기,1호기,1호기,1호기,2호기,2호기,1호기
양품,LOT-104,PNL-06,2019-04-03T00:00,2019-04-03T05:20,2019-04-03T11:00,2019-04-08T13:40,2019-04-13T03:40,2019-04-05T20:16,2019-04-13T12:40,2019-04-13T14:20,1호기,1호기,2호기,2호기,1호기,2호기,1호기,3호기,2호기,1호기,2호기,1호기,1호기,1호기,2호기,2호기,1호기
양품,LOT-104,PNL-07,2019-04-03T00:44,2019-04-03T06:04,2019-04-03T11:44,2019-04-08T14:24,2019-04-13T04:24,2019-04-05T21:00,2019-04-13T13:24,2019-04-13T15:04,1호기,1호기,2호기,2호기,1호기,2호기,1호기,3호기,2호기,1호기,2호기,1호기,1호기,1호기,2호기,2호기,1호기
양품,LOT-104,PNL-08,2019-04-03T01:28,2019-04-03T06:48,2019-04-03T12:28,2019-04-08T15:08,2019-04-13T05:08,2019-04-05T21:44,2019-04-13T14:08,2019-04-13T15:48,1호기,1호기,2호기,2호기,1호기,2호기,1호기,3호기,2호기,1호기,2호기,1호기,1호기,1호기,2호기,2호기,1호기
양품,LOT-104,PNL-09,2019-04-03T02:13,2019-04-03T07:33,2019-04-03T13:13,2019-04-08T15:53,2019-04-13T05:53,2019-04-05T22:29,2019-04-13T14:53,2019-04-13T16:33,1호기,1호기,2호기,2호기,1호기,2호기,1호기,3호기,2호기,1호기,2호기,1호기,1호기,1호기,2호기,2호기,1호기
양품,LOT-104,PNL-10,2019-04-03T02:57,2019-04-03T08:17,2019-04-03T13:57,2019-04-08T16:37,2019-04-13T06:37,2019-04-05T23:13,2019-04-13T15:37,2019-04-13T17:17,1호기,1호기,2호기,2호기,1호기,2호기,1호기,3호기,2호기,1호기,2호기,1호기,1호기,1호기,2호기,2호기,1호기
양품,LOT-104,PNL-11,2019-04-03T03:41,2019-04-03T09:01,2019-04-03T14:41,2019-04-08T17:21,2019-04-13T07:21,2019-04-05T23:57,2019-04-13T16:21,2019-04-13T18:01,1호기,1호기,2호기,2호기,1호기,2호기,1호기,3호기,2호기,1호기,2호기,1호기,1호기,1호기,2호기,2호기,1호기
양품,LOT-104,PNL-12,2019-04-03T04:25,2019-04-03T09:45,2019-04-03T15:25,2019-04-08T18:05,2019-04-13T08:05,2019-04-06T00:41,2019-04-13T17:05,2019-04-13T18:45,1호기,1호기,2호기,2호기,1호기,2호기,1호기,3호기,2호기,1호기,2호기,1호기,1호기,1호기,2호기,2호기,1호기
양품,LOT-104,PNL-13,2019-04-03T05:10,2019-04-03T10:30,2019-04-03T16:10,2019-04-08T18:50,2019-04-13T08:50,2019-04-06T01:26,2019-04-13T17:50,2019-04-13T19:30,1호기,1호기,2호기,2호기,1호기,2호기,1호기,3호기,2호기,1호기,2호기,1호기,1호기,1호기,2호기,2호기,1호기
양품,LOT-104,PNL-14,2019-04-03T05:54,2019-04-03T11:14,2019-04-03T16:54,2019-04-08T19:34,2019-04-13T09:34,2019-04-06T02:10,2019-04-13T18:34,2019-04-13T20:14,1호기,1호기,2호기,2호기,1호기,2호기,1호기,3호기,2호기,1호기,2호기,1호기,1호기,1호기,2호기,2호기,1호기
양품,LOT-104,PNL-15,2019-04-03T06:38,2019-04-03T11:58,2019-04-03T17:38,2019-04-08T20:18,2019-04-13T10:18,2019-04-06T02:54,2019-04-13T19:18,2019-04-13T20:58,1호기,1호기,2호기,2호기,1호기,2호기,1호기,3호기,2호기,1호기,2호기,1호기,1호기,1호기,2호기,2호기,1호기
양품,LOT-104,PNL-16,2019-04-03T07:22,2019-04-03T12:42,2019-04-03T18:22,2019-04-08T21:02,2019-04-13T11:02,2019-04-06T03:38,2019-04-13T20:02,2019-04-13T21:42,1호기,1호기,2호기,2호기,1호기,2호기,1호기,3호기,2호기,1호기,2호기,1호기,1호기,1호기,2호기,2호기,1호기
양품,LOT-104,PNL-17,2019-04-03T08:07,2019-04-03T13:27,2019-04-03T19:07,2019-04-08T21:47,2019-04-13T11:47,2019-04-06T04:23,2019-04-13T20:47,2019-04-13T22:27,1호기,1호기,2호기,2호기,1호기,2호기,1호기,3호기,2호기,1호기,2호기,1호기,1호기,1호기,2호기,2호기,1호기
